,ATG_Sox_CIS_up,TOX21_TSHR_Agonist_ratio,TOX21_ERa_BLA_Agonist_ratio,TOX21_ERa_LUC_VM7_Agonist,ATG_E2F_CIS_up,ATG_BRE_CIS_dn,ATG_CAR_TRANS_dn,ATG_LXRb_TRANS_dn,TOX21_RAR_LUC_Antagonist,TOX21_ARE_BLA_agonist_ratio,ATG_TGFb_CIS_up,ATG_Sp1_CIS_up,ATG_Sox_CIS_dn,ATG_ERa_TRANS_up,ATG_NRF1_CIS_up,ATG_CAR_TRANS_up,ATG_E2F_CIS_dn,ATG_NURR1_TRANS_up,ATG_ERa_TRANS_dn,ATG_ERE_CIS_up,ATG_EGR_CIS_up,ATG_GLI_CIS_dn,ATG_GRE_CIS_up,ATG_LXRa_TRANS_dn,ATG_LXRa_TRANS_up,ATG_FXR_TRANS_dn
BSK_3C_Vis_down,0.10267022997140884,0.15628688037395477,-0.0637722834944725,-0.07258270680904388,0.10000000149011612,0.10000000149011612,0.08806391060352325,0.10000000149011612,0.19872792065143585,0.23601561784744263,0.11532782018184662,0.12092936784029007,0.10000000149011612,-0.1100323423743248,0.10000000149011612,0.10000000149011612,0.11060601472854614,0.08947372436523438,0.08577451854944229,-0.11430478096008301,0.13559198379516602,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.13925328850746155,0.10000000149011612
BSK_3C_uPAR_down,0.1026601642370224,0.14152666926383972,-0.0653296411037445,-0.07466798275709152,0.10000000149011612,0.10000000149011612,0.08867931365966797,0.10000000149011612,0.1961619257926941,0.22111614048480988,0.11452211439609528,0.12092581391334534,0.10000000149011612,-0.11090408265590668,0.10000000149011612,0.10000000149011612,0.11030028015375137,0.09007691591978073,0.08638107031583786,-0.1149931475520134,0.1276559680700302,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.13754910230636597,0.10000000149011612
BSK_3C_HLADR_down,0.10268797725439072,0.14944475889205933,-0.08790428191423416,-0.11624418944120407,0.10000000149011612,0.10000000149011612,0.08966522663831711,0.10000000149011612,0.1477993279695511,0.1719852089881897,0.11974234133958817,0.12304046750068665,0.10000000149011612,-0.17070980370044708,0.10000000149011612,0.10000000149011612,0.11072088778018951,0.0911007970571518,0.08731477707624435,-0.169682577252388,0.12986810505390167,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.1341373175382614,0.10000000149011612
OT_AR_ARELUC_AG_1440,0.10257848352193832,0.10568984597921371,0.21662579476833344,0.2501598298549652,0.10000000149011612,0.10000000149011612,0.10257375985383987,0.10000000149011612,0.1814812868833542,0.22532625496387482,0.10393154621124268,0.10265270620584488,0.10000000149011612,0.28210824728012085,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.27395620942115784,0.10267641395330429,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
OT_ERa_EREGFP_0120,0.12594223022460938,0.1838674545288086,-0.09946024417877197,-0.1035514622926712,0.10000000149011612,0.10000000149011612,0.0894649401307106,0.10000000149011612,0.1695815622806549,0.22316262125968933,0.11942924559116364,0.15325334668159485,0.10000000149011612,-0.07165580987930298,0.10000000149011612,0.10000000149011612,0.122522734105587,0.09094108641147614,0.08709029853343964,-0.11135462671518326,0.1405005007982254,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.13886278867721558,0.10000000149011612
OT_ERa_EREGFP_0480,0.1431872695684433,0.1831430196762085,0.23070015013217926,0.4782397150993347,0.10000000149011612,0.10000000149011612,0.08297393471002579,0.10000000149011612,0.1663048416376114,0.22264862060546875,0.1092912033200264,0.16055434942245483,0.10000000149011612,0.7319301962852478,0.10000000149011612,0.10000000149011612,0.11484073102474213,0.08447328209877014,0.08076197654008865,0.6286664009094238,0.1278814971446991,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.1030811294913292,0.10000000149011612
