,OT_PPARg_PPARgSRC1_0480,OT_NURR1_NURR1RXRa_1440,OT_NURR1_NURR1RXRa_0480,OT_FXR_FXRSRC1_1440,OT_PPARg_PPARgSRC1_1440,OT_FXR_FXRSRC1_0480,OT_ER_ERbERb_0480,OT_ER_ERaERb_1440,OT_ER_ERaERb_0480,OT_ER_ERaERa_1440,OT_ER_ERaERa_0480,OT_ER_ERbERb_1440
NVS_NR_hER,0.10000000149011612,0.12143369764089584,0.11560534685850143,0.2293219119310379,0.10000000149011612,0.21848773956298828,0.3788065016269684,0.3788065016269684,0.3788065016269684,0.347347617149353,0.347347617149353,0.379373699426651
NVS_NR_cAR,0.10000000149011612,0.11618868261575699,0.08768801391124725,-0.0032574236392974854,0.016435792669653893,0.02437344565987587,0.22466441988945007,0.22466441988945007,0.22466441988945007,0.19719810783863068,0.19719810783863068,0.2248733788728714
NVS_NR_hAR,0.10000000149011612,0.12107973545789719,0.092194102704525,0.13506869971752167,0.10000000149011612,0.18446817994117737,0.2512483298778534,0.2512483298778534,0.2512483298778534,0.2230721414089203,0.2230721414089203,0.25154680013656616
NVS_NR_hGR,0.10000000149011612,0.1435421258211136,0.140780508518219,0.05026257038116455,0.02171587198972702,0.0518801249563694,0.19664156436920166,0.19664156436920166,0.19664156436920166,0.16525082290172577,0.16525082290172577,0.14625373482704163
NVS_NR_hPR,0.10000000149011612,0.12087121605873108,0.080283984541893,0.01623418740928173,0.018723929300904274,0.019118815660476685,0.2009797841310501,0.2009797841310501,0.2009797841310501,0.1741003692150116,0.1741003692150116,0.20108214020729065
NVS_NR_rAR,0.10000000149011612,0.11171160638332367,0.11003036797046661,0.041173022240400314,0.018808772787451744,0.018406279385089874,0.2507432997226715,0.2507432997226715,0.2507432997226715,0.22384025156497955,0.22384025156497955,0.2511996924877167
